frame,left_knee,right_knee,left_hip,right_hip
0,174.84453645688575,162.22809161736194,167.1224358069375,170.7714314346932
1,174.40321731435435,162.03221079415783,166.86999235626607,171.2460380503249
2,174.02389172615574,161.98075304847086,166.5318551839583,171.2581895453242
3,174.11215282178375,162.02694479187696,166.32948898304815,171.26253746983238
4,174.24815690283148,162.15366788728542,166.26092176622586,171.24526065957505
5,174.70765801623818,163.05105417552656,166.32849405466925,170.93024797476315
6,174.93521936037658,164.3725549465647,166.6552655940854,171.3680874621168
7,175.3055702867092,164.61266064989857,168.21630286526124,171.22589811265752
8,175.48074606790158,165.03285050027787,170.2374362487163,171.17268036243598
9,176.04494752139334,165.0211614761345,171.20175204444917,170.57800729779055
10,176.44355149760312,166.58729536293444,170.677394975849,171.47480785036723
11,176.71116593442983,170.30485525276944,170.63728406351586,173.7192785271223
12,176.19717428481547,174.02686768051657,170.8824299043167,176.19144494711102
13,177.4151791974232,176.54611798094996,172.05671957794863,177.3493603434671
14,179.85046933077757,178.74762782265807,174.43735779516413,178.65244124933022
15,178.3256612094729,179.26438602341656,175.31035957536045,179.9333991568357
16,175.61214042883196,178.25059420954938,176.11679137815378,179.46008738875483
17,173.307587836088,178.00308889832894,177.50735301713374,178.78113814664738
18,170.33068234730075,177.31014992401558,178.49045679962822,177.36883372960258
19,167.07268152548494,175.95963581769837,178.6688722598164,175.90770427286378
20,163.91372996131244,175.76059263452947,179.79896473888763,175.19247797001935
21,163.23022755154753,175.96363841699014,178.17934342259713,174.65055875058434
22,162.89620922867192,178.0781544516211,178.7955532669132,174.9016439418773
23,165.05479760672677,178.50587125846752,179.39195814037123,176.6082826217286
24,164.68905307082468,175.91469022778182,178.88649386116327,177.68256976166228
25,160.33266204281668,175.41707782883316,179.0438799311283,178.4760088937933
26,158.1350348390108,176.016822307462,177.83910686374577,178.8253957905181
27,158.93275148643255,177.343149489042,176.40104547867648,177.7024855867684
28,160.7251115821314,178.90163390780896,176.3794064715095,175.87374606529286
29,157.83324848292375,179.3577503471666,172.86514210925404,174.88908236812446
30,159.6882687570528,179.84460475952937,169.7557859589849,174.03947123211236
31,166.42455174698665,179.73213131348592,170.44421091550532,172.80103160509356
32,170.90490676907942,179.3809415868253,169.16833666992937,172.9040818697922
33,174.88007800253882,179.0144363830348,168.71172530687846,173.21445798522393
34,178.56470758296456,177.96032379945365,168.80514481505645,173.2404316159603
35,178.6920507315839,176.33189251141252,168.75344584856862,173.2912887093673
36,177.79073575099056,173.99742356384192,169.44884506727448,173.28977190186168
37,178.76012134231192,171.5565560847049,170.69703619192097,172.68831708144867
38,179.894294425278,168.0320018622516,170.81890834346228,172.98597400893593
39,179.9598380510348,164.11687419395895,172.64984944128065,172.69245657582184
40,179.9591645576647,157.96710960170222,174.2800404018233,174.77627902074207
41,179.65601815385185,152.50319343296678,176.6567341124452,176.8036154688927
42,178.69561612988633,143.38726536766086,178.15131913624737,178.57505634522707
43,177.07165347298164,139.6123439573376,179.3474209580836,176.1780604717037
44,178.57625566523578,135.89390236176456,178.78564631595427,175.01720870475842
45,179.10627679721088,138.10501983359725,179.81590184074514,174.6103531604684
46,179.87078037300856,137.1211165666181,179.33899583638444,171.0140604429274
47,177.95733414680785,140.35715172281206,178.6586285736221,168.7287046585782
48,179.8772857770723,144.34938320638597,176.64424628738425,168.09936007161855
49,178.0080967858809,146.50166901447,174.75815235159394,167.72407232860525
50,177.21937888691255,151.7781348438985,173.83059271259273,168.9747157979877
51,177.81489481424703,159.14211657522733,175.29955099606818,169.28448553399312
52,179.93305410812295,166.09793332357262,176.0975134812552,170.04700632309195
53,178.89463772523646,174.31411114352255,176.41399100096723,172.4816729336331
54,177.89842968048717,179.75710851980173,176.03280474294002,172.54862894372465
55,177.83506497461786,176.43371980944673,175.40878839041716,173.03668186728882
56,177.54602990590004,177.6989533936419,174.4622792394291,172.35672133271493
57,177.62730099491486,179.8652123225354,172.872477458331,171.97475814825134
58,175.06382305158635,178.19606293731533,171.61078068627882,173.12488906849381
59,170.21483426154023,179.25569068467283,173.4565814491487,175.69974220648302
60,163.57093467681827,179.29007452522086,173.8143518516868,176.6401867203056
61,157.05819299474172,179.88548733968068,175.67657092747615,177.5626202254568
62,155.16083308164238,176.81900214254162,176.3987240814939,176.73340882143663
63,151.25750076058185,175.9691531150137,177.69885868778226,177.3112584101134
64,143.01210681183892,175.61251773049756,179.67688172275044,176.94379246819435
65,145.57144347865875,176.1923134111505,178.49561718734964,178.34881693600246
66,146.7690897570089,178.22830015641503,174.90782601387627,179.8774416374063
67,146.19778380773366,179.48012547077897,171.68639767284617,177.86023996119687
68,146.2510780328755,178.34563181037774,169.37614211390436,177.88260621488288
69,150.18384201838293,177.80161767543376,169.36344863164612,176.78555020318322
70,152.91787355527606,178.12545585392758,167.86903392698628,176.46386829435383
71,160.75879193909293,179.02306628653122,167.27281758551766,175.163862031797
72,168.25467381544019,177.5516414218407,167.14532465778154,175.5401642679274
73,174.34822263875589,175.77936571238212,167.40743762657894,175.51303068784983
74,179.5986233570379,172.80420409299427,169.21074752004535,176.12664034519483
75,176.3295937934758,171.6403202121958,171.1967093070471,175.1591073636965
76,176.29442370555518,170.13784333752895,172.73483456308418,173.84769369070722
77,176.72631638621866,166.838008837162,173.9441626605406,173.88545391931515
78,178.01308442874117,162.78067000410016,174.89645906567517,174.4899839183443
79,178.0417073546949,155.7585864452501,176.84719470158328,176.0682792923523
80,177.91601766376354,147.67649318326073,178.55348614809014,179.00842871701295
81,174.73772661485452,140.54439645736963,178.89272320654993,178.8627243982133
82,175.66393653409625,134.65373168913436,178.63560416707415,176.01569706558553
83,178.80606287515317,135.66616973123922,179.0686557560491,175.22253126635812
84,179.41405444952187,134.07063030274213,178.56347030660942,171.630363108025
85,179.66555735443933,136.27522604046874,176.5597665324743,170.4008950505933
86,177.86566408924398,134.78665790901127,174.5952977258739,166.41849266068377
87,175.80294244688915,138.42118738094263,172.01755756116265,165.1925978076129
88,175.7379340177214,142.09461136115777,172.899285906297,165.1576968974811
89,174.70673740710626,149.57709383528814,172.47937307795985,166.86263348587343
90,175.67579287605096,158.60554818692643,172.25801208102789,168.78697550064274
91,179.33526806455833,169.90850858497276,174.42770963715253,171.46606546315684
92,179.41236544454298,177.35288202139137,173.6469070790137,173.30532104172045
93,179.76545387614155,177.82035038965407,172.70792356802096,173.0388129622115
94,178.49908650767026,177.9845730429439,172.32583524541766,173.0094325550786
95,177.04135296042264,179.59604786642382,171.80779983148648,173.7027491778477
96,174.1052117035064,179.378957253717,171.20893194431528,175.34344999874241
97,169.74653275500734,179.33820410179356,171.12503690885083,176.65218686061849
98,176.4915463164382,148.98431173545538,176.7991438852308,179.95285859649647
99,174.4687432683159,147.73022729792402,179.62447834021734,179.06253739633104
100,174.4076793581869,144.41608904345338,177.99868762017766,179.95543360171172
101,177.8741055140451,179.63010775035556,176.61637717369436,178.9539729575116
102,155.26194119503367,179.49545805069607,178.06900620584238,179.91840029659915
